Receiving Committee,total_sum
Hogan  Larry for Governor,693191.04
Jealous  Ben Friends of,238671.9
Madaleno  Richard Marylanders For,119732.65
Jim Shea For Maryland,113799.96
Ross  Alec for Maryland,97158.21
Baker  Rushern III Friends Of-Comm For Pol Change (CPC),96322.71
Vignarajah  Krish for Maryland,81142.18
Kamenetz  (Kevin) Committee For,30009.75
Quinn  Shawn Citizens for,483.76
